gene_id,gene_symbol,rank,pattern
ENSG00000058085.15,LAMC2,210.827340587999,CUG
ENSG00000137648.19,TMPRSS4,209.908884945524,CUG
ENSG00000163993.7,S100P,208.400873366809,CUG
ENSG00000268104.3,SLC6A14,188.956195707821,CUG
ENSG00000123500.10,COL10A1,187.27159604698,CUG
ENSG00000196188.12,CTSE,181.884718106258,CUG
ENSG00000196878.15,LAMB3,180.039402410366,CUG
ENSG00000105388.16,CEACAM5,171.388390892715,CUG
ENSG00000086548.9,CEACAM6,167.338270747037,CUG
ENSG00000117472.10,TSPAN1,163.220824697248,CUG
ENSG00000137573.14,SULF1,160.071711681192,CUG
ENSG00000060718.22,COL11A1,147.959912758667,CUG
ENSG00000171345.13,KRT19,145.388259572503,CUG
ENSG00000165474.8,GJB2,144.122758248777,CUG
ENSG00000133110.15,POSTN,137.160505073467,CUG
ENSG00000115414.21,FN1,135.426295387352,CUG
ENSG00000164171.11,ITGA2,133.912060764846,CUG
ENSG00000117394.24,SLC2A1,126.551064334109,CUG
ENSG00000164932.13,CTHRC1,121.766683243881,CUG
ENSG00000206075.14,SERPINB5,120.928700343746,CUG
ENSG00000065618.21,COL17A1,119.416878743064,CUG
ENSG00000106541.12,AGR2,116.769998152494,CUG
ENSG00000186340.16,THBS2,116.733342399446,CUG
ENSG00000170786.12,SDR16C5,114.535894175113,CUG
ENSG00000038427.16,VCAN,114.430153329229,CUG
ENSG00000013588.9,GPRC5A,111.349591837698,CUG
ENSG00000062038.14,CDH3,111.286258359153,CUG
ENSG00000165949.12,IFI27,110.788558663987,CUG
ENSG00000185567.7,AHNAK2,110.550605007747,CUG
ENSG00000124107.5,SLPI,108.32568613471,CUG
ENSG00000107984.10,DKK1,100.107171525095,CUG
ENSG00000138356.14,AOX1,-98.814443611243,CDG
ENSG00000137699.17,TRIM29,98.6659715208946,CUG
ENSG00000170373.8,CST1,97.7083246285642,CUG
ENSG00000066405.13,CLDN18,97.4624640849364,CUG
ENSG00000146674.15,IGFBP3,96.7416765662192,CUG
ENSG00000143797.12,MBOAT2,96.7058539655582,CUG
ENSG00000109255.11,NMU,95.3418515848716,CUG
ENSG00000145287.11,PLAC8,95.098767316893,CUG
ENSG00000181019.13,NQO1,93.8354950042871,CUG
ENSG00000131746.13,TNS4,93.2854435732062,CUG
ENSG00000060140.9,STYK1,92.4007767468387,CUG
ENSG00000086991.13,NOX4,92.1379667137451,CUG
ENSG00000011426.11,ANLN,88.808554256523,CUG
ENSG00000078098.14,FAP,88.6131184961719,CUG
ENSG00000042493.16,CAPG,88.4844466587419,CUG
ENSG00000115648.14,MLPH,87.9864661981877,CUG
ENSG00000094755.17,GABRP,87.3078119918487,CUG
ENSG00000104783.14,KCNN4,87.2702721719746,CUG
ENSG00000109511.12,ANXA10,86.0610989309038,CUG
ENSG00000204262.14,COL5A2,85.3155724775884,CUG
ENSG00000175793.12,SFN,84.9230705920642,CUG
ENSG00000129451.12,KLK10,84.0447378687265,CUG
ENSG00000144810.16,COL8A1,82.6793921932602,CUG
ENSG00000197956.10,S100A6,82.4308413536913,CUG
ENSG00000105664.11,COMP,81.7939903523257,CUG
ENSG00000160182.3,TFF1,81.586402267598,CUG
ENSG00000102854.16,MSLN,81.5444120139471,CUG
ENSG00000131620.17,ANO1,81.4930868130998,CUG
ENSG00000122861.16,PLAU,80.9495413148275,CUG
ENSG00000140937.14,CDH11,80.5785257143721,CUG
ENSG00000167644.12,C19orf33,80.5751927298846,CUG
ENSG00000100558.9,PLEK2,79.7744361540813,CUG
ENSG00000163735.7,CXCL5,78.9594242481669,CUG
ENSG00000186007.10,LEMD1,78.8987858733362,CUG
